validation,result,column,pk,detail,source_value,target_value
data_validation,FAIL,Category (Adjusted),,52 mismatches in column Category (Adjusted),,
data_validation,FAIL,Category (Adjusted),"Account ID='0014600001JLLV3AAP', Order Number='REN-173017', SKU='IB-SUB-B1-SNDBX'",Value mismatch (example 1 of 52),'Customer Downsell','Customer Upsell'
data_validation,FAIL,Category (Adjusted),"Account ID='0014600001JLLV3AAP', Order Number='REN-173017', SKU='IB-SUB-B1DDI-BIZ-GR-D'",Value mismatch (example 2 of 52),'Customer Downsell','Customer Upsell'
data_validation,FAIL,Category (Adjusted),"Account ID='0014600001JLLV3AAP', Order Number='REN-173017', SKU='IB-SUB-B1DDI-DHCP-ANYCAST-GR-D'",Value mismatch (example 3 of 52),'Customer Downsell','Customer Upsell'
data_validation,FAIL,Cohort ARR Size,,599 mismatches in column Cohort ARR Size,,
data_validation,FAIL,Cohort ARR Size,"Account ID='0014600001JL7pYAAT', Order Number='DIST-162680', SKU='IB-SUB-B1DDI-BIZ-GR-G'",Value mismatch (example 1 of 599),'NA',nan
data_validation,FAIL,Cohort ARR Size,"Account ID='0014600001JLDxOAAX', Order Number='DIST-130869', SKU='IB-SUB-B1-DDI-ADV'",Value mismatch (example 2 of 599),'NA',nan
data_validation,FAIL,Cohort ARR Size,"Account ID='0014600001JLDxOAAX', Order Number='REN-165339', SKU='IB-SUB-B1DDI-BIZ-GR-D'",Value mismatch (example 3 of 599),'NA',nan
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)",,"787 mismatches in column EoP (Adjusted, w/ Late Renewals Extn)",,
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)","Account ID='0014600001JL7pYAAT', Order Number='DIST-162680', SKU='IB-SUB-B1DDI-BIZ-GR-G'",Value mismatch (example 1 of 787),"'105,000'",'105000.0'
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)","Account ID='0014600001JLDxOAAX', Order Number='DIST-130869', SKU='IB-SUB-B1-DDI-ADV'",Value mismatch (example 2 of 787),"'40,388'",'40387.5'
data_validation,FAIL,"EoP (Adjusted, w/ Late Renewals Extn)","Account ID='0014600001JLDxOAAX', Order Number='REN-165339', SKU='IB-SUB-B1DDI-BIZ-GR-D'",Value mismatch (example 3 of 787),"'42,188'",'42187.5'
data_validation,FAIL,"EoP, Unadjusted  ",,"834 mismatches in column EoP, Unadjusted  ",,
data_validation,FAIL,"EoP, Unadjusted  ","Account ID='0014600001JL7pYAAT', Order Number='DIST-162680', SKU='IB-SUB-B1DDI-BIZ-GR-G'",Value mismatch (example 1 of 834),'$105.00K','105000.0'
data_validation,FAIL,"EoP, Unadjusted  ","Account ID='0014600001JLDxOAAX', Order Number='DIST-130869', SKU='IB-SUB-B1-DDI-ADV'",Value mismatch (example 2 of 834),'$40.39K','40387.5'
data_validation,FAIL,"EoP, Unadjusted  ","Account ID='0014600001JLDxOAAX', Order Number='REN-165339', SKU='IB-SUB-B1DDI-BIZ-GR-D'",Value mismatch (example 3 of 834),'$42.19K','42187.5'
data_validation,FAIL,Extn for Late Renewals,,834 mismatches in column Extn for Late Renewals,,
data_validation,FAIL,Extn for Late Renewals,"Account ID='0014600001JL7pYAAT', Order Number='DIST-162680', SKU='IB-SUB-B1DDI-BIZ-GR-G'",Value mismatch (example 1 of 834),'$0.00K','0.0'
data_validation,FAIL,Extn for Late Renewals,"Account ID='0014600001JLDxOAAX', Order Number='DIST-130869', SKU='IB-SUB-B1-DDI-ADV'",Value mismatch (example 2 of 834),'$0.00K','0.0'
data_validation,FAIL,Extn for Late Renewals,"Account ID='0014600001JLDxOAAX', Order Number='REN-165339', SKU='IB-SUB-B1DDI-BIZ-GR-D'",Value mismatch (example 3 of 834),'$0.00K','0.0'
data_validation,FAIL,Index#,,833 mismatches in column Index#,,
data_validation,FAIL,Index#,"Account ID='0014600001JLDxOAAX', Order Number='DIST-130869', SKU='IB-SUB-B1-DDI-ADV'",Value mismatch (example 1 of 833),'6','1'
data_validation,FAIL,Index#,"Account ID='0014600001JLDxOAAX', Order Number='REN-165339', SKU='IB-SUB-B1DDI-BIZ-GR-D'",Value mismatch (example 2 of 833),'19','12'
data_validation,FAIL,Index#,"Account ID='0014600001JLDl8AAH', Order Number='REN-155217', SKU='IB-SUB-B1DDI-BIZ-IP'",Value mismatch (example 3 of 833),'30','15'
data_validation,FAIL,Month of Revenue Date,,834 mismatches in column Month of Revenue Date,,
data_validation,FAIL,Month of Revenue Date,"Account ID='0014600001JL7pYAAT', Order Number='DIST-162680', SKU='IB-SUB-B1DDI-BIZ-GR-G'",Value mismatch (example 1 of 834),'Jul-23','July 2023'
data_validation,FAIL,Month of Revenue Date,"Account ID='0014600001JLDxOAAX', Order Number='DIST-130869', SKU='IB-SUB-B1-DDI-ADV'",Value mismatch (example 2 of 834),'Jan-21','January 2021'
data_validation,FAIL,Month of Revenue Date,"Account ID='0014600001JLDxOAAX', Order Number='REN-165339', SKU='IB-SUB-B1DDI-BIZ-GR-D'",Value mismatch (example 3 of 834),'Jan-24','January 2024'
data_validation,FAIL,Peak ARR,,834 mismatches in column Peak ARR,,
data_validation,FAIL,Peak ARR,"Account ID='0014600001JL7pYAAT', Order Number='DIST-162680', SKU='IB-SUB-B1DDI-BIZ-GR-G'",Value mismatch (example 1 of 834),'$105.0K','105000.0'
data_validation,FAIL,Peak ARR,"Account ID='0014600001JLDxOAAX', Order Number='DIST-130869', SKU='IB-SUB-B1-DDI-ADV'",Value mismatch (example 2 of 834),'$42.2K','40387.5'
data_validation,FAIL,Peak ARR,"Account ID='0014600001JLDxOAAX', Order Number='REN-165339', SKU='IB-SUB-B1DDI-BIZ-GR-D'",Value mismatch (example 3 of 834),'$42.2K','42187.5'
data_validation,FAIL,Previous ARR,,834 mismatches in column Previous ARR,,
data_validation,FAIL,Previous ARR,"Account ID='0014600001JL7pYAAT', Order Number='DIST-162680', SKU='IB-SUB-B1DDI-BIZ-GR-G'",Value mismatch (example 1 of 834),'$0.00K','0.0'
data_validation,FAIL,Previous ARR,"Account ID='0014600001JLDxOAAX', Order Number='DIST-130869', SKU='IB-SUB-B1-DDI-ADV'",Value mismatch (example 2 of 834),'$0.00K','0.0'
data_validation,FAIL,Previous ARR,"Account ID='0014600001JLDxOAAX', Order Number='REN-165339', SKU='IB-SUB-B1DDI-BIZ-GR-D'",Value mismatch (example 3 of 834),'$0.00K','0.0'
data_validation,FAIL,Previous Extn for Late Renewals,,834 mismatches in column Previous Extn for Late Renewals,,
data_validation,FAIL,Previous Extn for Late Renewals,"Account ID='0014600001JL7pYAAT', Order Number='DIST-162680', SKU='IB-SUB-B1DDI-BIZ-GR-G'",Value mismatch (example 1 of 834),'$0.00K','0.0'
data_validation,FAIL,Previous Extn for Late Renewals,"Account ID='0014600001JLDxOAAX', Order Number='DIST-130869', SKU='IB-SUB-B1-DDI-ADV'",Value mismatch (example 2 of 834),'$0.00K','0.0'
data_validation,FAIL,Previous Extn for Late Renewals,"Account ID='0014600001JLDxOAAX', Order Number='REN-165339', SKU='IB-SUB-B1DDI-BIZ-GR-D'",Value mismatch (example 3 of 834),'$0.00K','0.0'
data_validation,FAIL,Previous Refresh Overlap Adj,,834 mismatches in column Previous Refresh Overlap Adj,,
data_validation,FAIL,Previous Refresh Overlap Adj,"Account ID='0014600001JL7pYAAT', Order Number='DIST-162680', SKU='IB-SUB-B1DDI-BIZ-GR-G'",Value mismatch (example 1 of 834),'$0.00K','0.0'
data_validation,FAIL,Previous Refresh Overlap Adj,"Account ID='0014600001JLDxOAAX', Order Number='DIST-130869', SKU='IB-SUB-B1-DDI-ADV'",Value mismatch (example 2 of 834),'$0.00K','0.0'
data_validation,FAIL,Previous Refresh Overlap Adj,"Account ID='0014600001JLDxOAAX', Order Number='REN-165339', SKU='IB-SUB-B1DDI-BIZ-GR-D'",Value mismatch (example 3 of 834),'$0.00K','0.0'
data_validation,FAIL,Quantity,,109 mismatches in column Quantity,,
data_validation,FAIL,Quantity,"Account ID='0014600001JLDl8AAH', Order Number='REN-155217', SKU='IB-SUB-B1DDI-BIZ-IP'",Value mismatch (example 1 of 109),"'3,000'",'3000'
data_validation,FAIL,Quantity,"Account ID='0014600001JLDl8AAH', Order Number='DIST-153516', SKU='IB-SUB-B1DDI-BIZ-IP'",Value mismatch (example 2 of 109),"'3,000'",'3000'
data_validation,FAIL,Quantity,"Account ID='0014600001JLMSyAAP', Order Number='DIST-147893', SKU='IB-SUB-B1DDI-ADV-IP'",Value mismatch (example 3 of 109),"'60,000'",'60000'
data_validation,FAIL,Refresh Overlap Adj,,834 mismatches in column Refresh Overlap Adj,,
data_validation,FAIL,Refresh Overlap Adj,"Account ID='0014600001JL7pYAAT', Order Number='DIST-162680', SKU='IB-SUB-B1DDI-BIZ-GR-G'",Value mismatch (example 1 of 834),'$0.00K','0.0'
data_validation,FAIL,Refresh Overlap Adj,"Account ID='0014600001JLDxOAAX', Order Number='DIST-130869', SKU='IB-SUB-B1-DDI-ADV'",Value mismatch (example 2 of 834),'$0.00K','0.0'
data_validation,FAIL,Refresh Overlap Adj,"Account ID='0014600001JLDxOAAX', Order Number='REN-165339', SKU='IB-SUB-B1DDI-BIZ-GR-D'",Value mismatch (example 3 of 834),'$0.00K','0.0'
data_validation,FAIL,Service End Date,,834 mismatches in column Service End Date,,
data_validation,FAIL,Service End Date,"Account ID='0014600001JL7pYAAT', Order Number='DIST-162680', SKU='IB-SUB-B1DDI-BIZ-GR-G'",Value mismatch (example 1 of 834),'28/07/2024','7/28/2024'
data_validation,FAIL,Service End Date,"Account ID='0014600001JLDxOAAX', Order Number='DIST-130869', SKU='IB-SUB-B1-DDI-ADV'",Value mismatch (example 2 of 834),'27/12/2023','12/27/2023'
data_validation,FAIL,Service End Date,"Account ID='0014600001JLDxOAAX', Order Number='REN-165339', SKU='IB-SUB-B1DDI-BIZ-GR-D'",Value mismatch (example 3 of 834),'27/12/2026','12/27/2026'
data_validation,FAIL,Service Start Date,,834 mismatches in column Service Start Date,,
data_validation,FAIL,Service Start Date,"Account ID='0014600001JL7pYAAT', Order Number='DIST-162680', SKU='IB-SUB-B1DDI-BIZ-GR-G'",Value mismatch (example 1 of 834),'29/07/2023','7/29/2023'
