validation,result,column,pk,detail,source_value,target_value
data_validation,FAIL,end customer,"account id='0014600001JLV42AAH', order number='DIST-153521', sku='IB-SWTL-ADNS', service start date='10/28/2022'",Value mismatch (example 1 of 1),'PT. SURYADUTA INVESTAMA','PT. GUDANG GARAM TBK'
data_validation,FAIL,"eop (adjusted, w/ late renewals extn)",,"68 mismatches in column eop (adjusted, w/ late renewals extn)",,
data_validation,FAIL,"eop (adjusted, w/ late renewals extn)","account id='0014600001JLZ9BAAX', order number='REN-181226', sku='IB-SWTL-ADNS', service start date='7/28/2025'",Value mismatch (example 1 of 68),'18739.009918719217','18739.009918719214'
data_validation,FAIL,"eop (adjusted, w/ late renewals extn)","account id='0014600001JLAB7AAP', order number='REN-188253', sku='IB-SWTL-ADNS', service start date='7/18/2025'",Value mismatch (example 2 of 68),'3950.3733333333334','3950.373333333333'
data_validation,FAIL,"eop (adjusted, w/ late renewals extn)","account id='0014600001JLNB0AAP', order number='REN-185174', sku='IB-SWTL-ADNS', service start date='4/6/2025'",Value mismatch (example 3 of 68),'31818.023130555557','31818.02313055556'
data_validation,FAIL,"eop, unadjusted  ",,"67 mismatches in column eop, unadjusted  ",,
data_validation,FAIL,"eop, unadjusted  ","account id='0014600001JLZ9BAAX', order number='REN-181226', sku='IB-SWTL-ADNS', service start date='7/28/2025'",Value mismatch (example 1 of 67),'18739.009918719217','18739.009918719214'
data_validation,FAIL,"eop, unadjusted  ","account id='0014600001JLAB7AAP', order number='REN-188253', sku='IB-SWTL-ADNS', service start date='7/18/2025'",Value mismatch (example 2 of 67),'3950.3733333333334','3950.373333333333'
data_validation,FAIL,"eop, unadjusted  ","account id='0014600001JLNB0AAP', order number='REN-185174', sku='IB-SWTL-ADNS', service start date='4/6/2025'",Value mismatch (example 3 of 67),'31818.023130555557','31818.02313055556'
data_validation,FAIL,extn for late renewals,,3 mismatches in column extn for late renewals,,
data_validation,FAIL,extn for late renewals,"account id='0018Y00002qHg23QAC', order number='DIST-170706', sku='IB-SWTL-ADNS', service start date='3/20/2024'",Value mismatch (example 1 of 3),'2473.7999999999997','2473.8'
data_validation,FAIL,extn for late renewals,"account id='0014600001JLL7aAAH', order number='REN-181192', sku='IB-SWTL-ADNS', service start date='10/29/2024'",Value mismatch (example 2 of 3),'3229.7999999999997','3229.8'
data_validation,FAIL,extn for late renewals,"account id='0014600001RN91iAAD', order number='REN-179291', sku='IB-SWTL-ADNS', service start date='10/23/2024'",Value mismatch (example 3 of 3),'2803.7999999999997','2803.8'
data_validation,FAIL,index#,,1755 mismatches in column index#,,
data_validation,FAIL,index#,"account id='0014600001JL5kZAAT', order number='REN-180033', sku='IB-SWTL-ADNS', service start date='12/15/2024'",Value mismatch (example 1 of 1755),'6','1'
data_validation,FAIL,index#,"account id='0014600001JL6riAAD', order number='REN-179212', sku='IB-SWTL-ADNS', service start date='12/30/2024'",Value mismatch (example 2 of 1755),'18','8'
data_validation,FAIL,index#,"account id='0014600001JLWnmAAH', order number='REN-187269', sku='IB-SWTL-ADNS', service start date='7/1/2025'",Value mismatch (example 3 of 1755),'25','10'
data_validation,FAIL,industry [custom],,1 mismatches in column industry [custom],,
data_validation,FAIL,industry [custom],"account id='0014600001JLV42AAH', order number='DIST-153521', sku='IB-SWTL-ADNS', service start date='10/28/2022'",Value mismatch (example 1 of 1),'Financial Services','Manufacturing'
data_validation,FAIL,max. fortune rank,,1 mismatches in column max. fortune rank,,
data_validation,FAIL,max. fortune rank,"account id='0014600001JLHQ4AAP', order number='REN-162198', sku='IB-SWTL-ADNS', service start date='7/23/2023'",Value mismatch (example 1 of 1),nan,'746.0'
data_validation,FAIL,peak arr,,454 mismatches in column peak arr,,
data_validation,FAIL,peak arr,"account id='0014600001JL5ftAAD', order number='REN-185508', sku='IB-SWTL-ADNS', service start date='5/30/2025'",Value mismatch (example 1 of 454),'245839.63999999996','245839.64'
data_validation,FAIL,peak arr,"account id='0014600001JL9g4AAD', order number='REN-178009', sku='IB-SWTL-ADNS', service start date='10/11/2024'",Value mismatch (example 2 of 454),'51002.65246891652','42903.49261280141'
data_validation,FAIL,peak arr,"account id='0014600001JL9g4AAD', order number='REN-189727', sku='IB-SWTL-ADNS', service start date='10/11/2025'",Value mismatch (example 3 of 454),'51002.65246891652','42903.49261280141'
data_validation,FAIL,previous arr,,64 mismatches in column previous arr,,
data_validation,FAIL,previous arr,"account id='0014600001JLZ9BAAX', order number='REN-181226', sku='IB-SWTL-ADNS', service start date='7/28/2025'",Value mismatch (example 1 of 64),'18739.009918719217','18739.009918719214'
data_validation,FAIL,previous arr,"account id='0014600001JLNmpAAH', order number='DIST-153573', sku='IB-SWTL-ADNS', service start date='10/29/2022'",Value mismatch (example 2 of 64),'4158.5599999999995','4158.56'
data_validation,FAIL,previous arr,"account id='0014600001JLAB7AAP', order number='REN-188253', sku='IB-SWTL-ADNS', service start date='7/18/2025'",Value mismatch (example 3 of 64),'3950.3733333333334','3950.373333333333'
data_validation,FAIL,previous extn for late renewals,,2 mismatches in column previous extn for late renewals,,
data_validation,FAIL,previous extn for late renewals,"account id='0018Y00002qHg23QAC', order number='DIST-170706', sku='IB-SWTL-ADNS', service start date='3/20/2024'",Value mismatch (example 1 of 2),'2473.7999999999997','2473.8'
data_validation,FAIL,previous extn for late renewals,"account id='0014600001JLL7aAAH', order number='REN-181192', sku='IB-SWTL-ADNS', service start date='10/29/2024'",Value mismatch (example 2 of 2),'3229.7999999999997','3229.8'
data_validation,FAIL,rcn emp count,,29 mismatches in column rcn emp count,,
data_validation,FAIL,rcn emp count,"account id='0014600001JLEfBAAX', order number='REN-173562', sku='IB-SWTL-ADNS', service start date='7/1/2024'",Value mismatch (example 1 of 29),'1059','1156'
data_validation,FAIL,rcn emp count,"account id='0014600001JLEfBAAX', order number='REN-187544', sku='IB-SWTL-ADNS', service start date='8/1/2025'",Value mismatch (example 2 of 29),'1059','1156'
